vscodium 1.96.4.25017-1
waybar 0.12.0-1
welcome 25.3-1
wget 1.25.0-1
which 2.23-1
wireplumber 0.5.8-1
wofi 1.4.1-1
wpa_supplicant 2:2.11-3
xdg-desktop-portal-kde 6.3.3-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfsprogs 6.13.0-1
xl2tpd 1.3.18-2
xorg-server 21.1.16-1
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.6-2
xorg-xrandr 1.5.3-1
xsettingsd 1.0.2-2
xterm 397-2
xwaylandvideobridge 0.4.0-2
yay 12.4.2-1
zoxide 0.9.7-1
